OBJECTID,TreeID,Genus,SpecificEpithet,CultivarName,ScientificName,CommonName,DBH_in,Height_ft,CampusArea
11363,13101,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,8,16 - 33 Feet,Main Campus
11364,13102,Platanus,hispanica,,Platanus hispanica,London Plane Tree,10.3,16 - 33 Feet,Main Campus
11365,13103,Platanus,hispanica,,Platanus hispanica,London Plane Tree,12,16 - 33 Feet,Main Campus
11366,13104,Platanus,hispanica,,Platanus hispanica,London Plane Tree,9,16 - 33 Feet,Main Campus
11367,13105,Platanus,hispanica,,Platanus hispanica,London Plane Tree,7.3,16 - 33 Feet,Main Campus
11368,13106,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,8,16 - 33 Feet,Main Campus
11369,13107,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,8,16 - 33 Feet,Main Campus
11370,13108,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,9,16 - 33 Feet,Main Campus
11371,13109,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,16.5,16 - 33 Feet,Main Campus
11372,13110,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,12,16 - 33 Feet,Main Campus
11373,13111,Platanus,hispanica,,Platanus hispanica,London Plane Tree,10,16 - 33 Feet,Main Campus
11374,13112,Platanus,hispanica,,Platanus hispanica,London Plane Tree,12,16 - 33 Feet,Main Campus
11375,13113,Platanus,hispanica,,Platanus hispanica,London Plane Tree,12,16 - 33 Feet,Main Campus
11376,13114,Platanus,hispanica,,Platanus hispanica,London Plane Tree,8,16 - 33 Feet,Main Campus
11377,13116,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,13.77952756,34 - 50 Feet,Main Campus
11378,13117,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,6.5,16 - 33 Feet,Main Campus
11379,13118,Quercus,lobata,,Quercus lobata,Valley Oak,8.5,16 - 33 Feet,Main Campus
11380,13119,Quercus,lobata,,Quercus lobata,Valley Oak,1,< 16 Feet,Main Campus
11381,13121,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,6.5,16 - 33 Feet,Main Campus
11382,13122,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,14,16 - 33 Feet,Main Campus
11383,13123,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,11,16 - 33 Feet,Main Campus
11384,13125,Platanus,hispanica,,Platanus hispanica,London Plane Tree,11,16 - 33 Feet,Main Campus
